"미션ID","축","영역","행운의행동","유형","측정분류","측정데이터_핵심","모델연동","측정시작조건","완료판정","행운의위치_후보","행운의숫자_최소","행운의숫자_최대","행운의숫자_간격","단위","시간대","오늘의운세_해석","오늘의한줄_템플릿","수행안내_안전문구","안전태그","시니어안전","검수상태","운동종목","운동강도","강도근거","강도판정메모","추천노출가중치","추천노출풀","추천노출조건","운동집계반영안","검토_우선순위","검토_주요문제","검토_수정제안"
"WALL_ANGEL_28","火","근력운동","벽에 기대 팔 움직이기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실","5","10","5","회","언제나","벽을 등진 순간에 자세의 기운이 바로 서요.","{place}에서 벽에 기대 팔을 {num}{unit} 움직이기!","어깨 통증이 있으면 팔을 낮게 움직여요.","","Y","검수대기","근력","저","RPE","약한 저항","1.5","운동우선","일반 노출 후보","보류: 반복·세트·저항·부위 기록 및 같은 날 중복 제거 기준 필요","P1","완료 한 번을 근력운동 1일로 인정할 기준 없음","실제 반복·세트·저항·부위·날짜를 기록하고 같은 날 중복 제거"
"CHAIR_HALFSTAND_29","火","근력운동","의자에서 반쯤 일어서기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실","5","10","5","회","언제나","작은 도전이 오늘의 힘을 확인시켜줘요.","{place}에서 의자에서 반쯤 {num}{unit} 일어서기!","난간 없는 튼튼한 의자를 쓰고 천천히 해요.","","Y","검수대기","근력","중","RPE","체중 저항, 부분 범위 스쿼트","1.5","운동우선","일반 노출 후보","보류: 반복·세트·저항·부위 기록 및 같은 날 중복 제거 기준 필요","P1","완료 한 번을 근력운동 1일로 인정할 기준 없음 / 안내의 난간 없는 의자는 지지 안전 취지가 불명확","실제 반복·세트·저항·부위·날짜를 기록하고 같은 날 중복 제거 / 바퀴 없고 미끄러지지 않는 튼튼한 의자, 필요시 손 지지로 명확화"
"SCAPULA_DOWN_30","火","근력운동","어깨 내리기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실,책상 앞","5","15","5","회","언제나","내려놓는 동작에 가벼운 행운이 찾아와요.","{place}에서 어깨를 {num}{unit} 내리기!","숨을 내쉬며 어깨 힘을 툭 빼요.","","Y","검수대기","근력","저","RPE","저항 없음 - 오분류 검토 대상","1","기초실천_분류검토","운동량 확보 목적의 근력 우선 노출에서 제외; 분류 검수 후 결정","보류: 반복·세트·저항·부위 기록 및 같은 날 중복 제거 기준 필요","P1","완료 한 번을 근력운동 1일로 인정할 기준 없음 / 가동성/자세/이완 동작을 근력 일수로 과대 인정할 위험","실제 반복·세트·저항·부위·날짜를 기록하고 같은 날 중복 제거 / 회복·가동성으로 재분류하거나 근력 자극을 만드는 구체적 저항 조건 추가"
"WALL_LEAN_31","火","근력운동","벽에 기대 몸 밀기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실","5","10","5","회","언제나","몸을 지지하는 힘이 마음의 여유가 돼요.","{place}에서 벽에 기대 몸을 {num}{unit} 가볍게 밀기!","발이 미끄러지지 않는지 확인해요.","","Y","검수대기","근력","저","RPE","약한 저항","1.5","운동우선","일반 노출 후보","보류: 반복·세트·저항·부위 기록 및 같은 날 중복 제거 기준 필요","P1","완료 한 번을 근력운동 1일로 인정할 기준 없음","실제 반복·세트·저항·부위·날짜를 기록하고 같은 날 중복 제거"
"SEATED_MARCH_STRONG_32","火","근력운동","앉아서 무릎 번갈아 들기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞","10","20","5","회","언제나","번갈아 움직일수록 활력의 리듬이 생겨요.","{place}에서 무릎을 번갈아 {num}{unit} 들기!","허리를 의자 깊숙이 붙이고 천천히 해요.","","Y","검수대기","근력","저","RPE","가벼운 반복","1.5","운동우선","일반 노출 후보","보류: 반복·세트·저항·부위 기록 및 같은 날 중복 제거 기준 필요","P1","완료 한 번을 근력운동 1일로 인정할 기준 없음","실제 반복·세트·저항·부위·날짜를 기록하고 같은 날 중복 제거"
"FIST_HOLD_33","火","근력운동","주먹 쥐고 잠깐 버티기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,책상 앞,사무실","3","5","1","초","언제나","잠깐 모은 힘이 오늘의 결심을 단단하게 해요.","{place}에서 주먹을 쥐고 {num}{unit} 버티기!","손가락이 저리면 힘을 풀고 쉬어요.","","Y","검수대기","근력","저","RPE","약한 저항","1.5","운동우선","일반 노출 후보","보류: 반복·세트·저항·부위 기록 및 같은 날 중복 제거 기준 필요","P1","완료 한 번을 근력운동 1일로 인정할 기준 없음 / 단회 3~5초 및 저항 불명; 운동량 매우 작음","실제 반복·세트·저항·부위·날짜를 기록하고 같은 날 중복 제거 / 손 가동성/준비 동작으로 유지하거나 유지·반복·저항을 구체화"
"BOOK_REACH_34","火","근력운동","가벼운 물건 들기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실","3","5","1","회","언제나","가벼운 힘쓰기가 일상의 자신감을 키워줘요.","{place}에서 가벼운 물건을 {num}{unit} 들어보기!","물병처럼 가벼운 것만 들고 허리가 아프면 하지 않아요.","","Y","검수대기","근력","저","RPE","명시적으로 가벼운 물건","1.5","운동우선","일반 노출 후보","보류: 반복·세트·저항·부위 기록 및 같은 날 중복 제거 기준 필요","P1","완료 한 번을 근력운동 1일로 인정할 기준 없음","실제 반복·세트·저항·부위·날짜를 기록하고 같은 날 중복 제거"
"TOWEL_SQUEEZE_35","火","근력운동","수건 말아 쥐기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞","5","15","5","회","언제나","쥐는 힘에 오늘의 집중력이 모여요.","{place}에서 수건을 말아 {num}{unit} 쥐기!","손목을 꺾지 말고 가볍게 쥐어요.","","Y","검수대기","근력","저","RPE","약한 저항","1.5","운동우선","일반 노출 후보","보류: 반복·세트·저항·부위 기록 및 같은 날 중복 제거 기준 필요","P1","완료 한 번을 근력운동 1일로 인정할 기준 없음","실제 반복·세트·저항·부위·날짜를 기록하고 같은 날 중복 제거"
"SIT_TALL_36","火","근력운동","앉아 키 크게 만들기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,사무실,책상 앞","1","3","1","분","언제나","몸을 길게 세우면 기분도 환해져요.","{place}에서 키를 크게 만드는 자세로 {num}{unit} 앉기!","숨을 편히 쉬며 어깨는 내린 상태를 유지해요.","","Y","검수대기","근력","저","RPE","저항 없음, 자세 동작 - 오분류 검토 대상","1","기초실천_분류검토","운동량 확보 목적의 근력 우선 노출에서 제외; 분류 검수 후 결정","보류: 반복·세트·저항·부위 기록 및 같은 날 중복 제거 기준 필요","P1","완료 한 번을 근력운동 1일로 인정할 기준 없음 / 가동성/자세/이완 동작을 근력 일수로 과대 인정할 위험","실제 반복·세트·저항·부위·날짜를 기록하고 같은 날 중복 제거 / 회복·가동성으로 재분류하거나 근력 자극을 만드는 구체적 저항 조건 추가"
"BACKWARD_STEP_37","火","근력운동","뒤로 한 걸음 내딛기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실","5","10","5","회","언제나","조심스러운 한 걸음에도 새로운 힘이 생겨요.","{place}에서 뒤로 한 걸음 {num}{unit} 내딛기!","반드시 벽이나 의자를 잡고 아주 작게 움직여요.","BALANCE","Y","검수대기","평형성","저","RPE","균형 훈련(BALANCE 태그)","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P2","평형성은 유산소·근력 일수와 다른 분류 / 시니어 Y 하나로 개인의 관절·균형·운동 가능 여부를 판단할 수 없음 / 뒤로 걷기 균형 부담과 근력운동 인정은 별개","안전한 지지물·대체 동작 명시; 다중 운동 목적은 별도 검토 / 지원 도구·통증·균형 조건으로 적합성 세분화 / 지지물과 좌우 횟수 명시; 평형성 기본, 근력 일수 자동 인정 제외"
"MINI_SQUAT_38","火","근력운동","작게 앉았다 일어서기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,사무실","5","10","5","회","언제나","작은 굽힘이 다리의 기운을 깨워줘요.","{place}에서 작게 앉았다 일어서기 {num}{unit}!","무릎이 불편하면 의자 앉았다 일어서기로 바꿔요.","HIGH_IMPACT","Y","검수대기","근력","중","RPE","체중 스쿼트 저항, HIGH_IMPACT","1.5","운동우선","일반 노출 후보","보류: 반복·세트·저항·부위 기록 및 같은 날 중복 제거 기준 필요","P1","완료 한 번을 근력운동 1일로 인정할 기준 없음 / 시니어 Y 하나로 개인의 관절·균형·운동 가능 여부를 판단할 수 없음","실제 반복·세트·저항·부위·날짜를 기록하고 같은 날 중복 제거 / 지원 도구·통증·균형 조건으로 적합성 세분화"
"CHAIR_BACKPRESS_39","火","근력운동","등받이에 기대기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,사무실","5","10","5","초","언제나","편안한 지지가 오늘의 힘을 회복시켜줘요.","{place}에서 등받이에 기대 {num}{unit} 힘 빼기!","허리를 과하게 누르지 말고 편안하게 기대요.","","Y","검수대기","근력","저","RPE","이완 동작, 저항 없음 - 오분류 검토 대상","1","기초실천_분류검토","운동량 확보 목적의 근력 우선 노출에서 제외; 분류 검수 후 결정","보류: 반복·세트·저항·부위 기록 및 같은 날 중복 제거 기준 필요","P1","완료 한 번을 근력운동 1일로 인정할 기준 없음 / 가동성/자세/이완 동작을 근력 일수로 과대 인정할 위험","실제 반복·세트·저항·부위·날짜를 기록하고 같은 날 중복 제거 / 회복·가동성으로 재분류하거나 근력 자극을 만드는 구체적 저항 조건 추가"
"STRENGTH_FINISH_40","火","근력운동","힘준 부위 풀기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,사무실,책상 앞","1","3","1","분","언제나","힘을 쓴 뒤의 이완이 좋은 기운을 완성해요.","{place}에서 힘준 부위를 {num}{unit} 가볍게 풀기!","당기는 느낌이 아프면 즉시 멈춰요.","","Y","검수대기","근력","저","RPE","이완/쿨다운 동작 - 오분류 검토 대상","1","기초실천_분류검토","운동량 확보 목적의 근력 우선 노출에서 제외; 분류 검수 후 결정","보류: 반복·세트·저항·부위 기록 및 같은 날 중복 제거 기준 필요","P1","완료 한 번을 근력운동 1일로 인정할 기준 없음 / 가동성/자세/이완 동작을 근력 일수로 과대 인정할 위험","실제 반복·세트·저항·부위·날짜를 기록하고 같은 날 중복 제거 / 회복·가동성으로 재분류하거나 근력 자극을 만드는 구체적 저항 조건 추가"
"VEGGIE_MORE_01","土","식사·수면·생활 리듬","채소 반찬 더 먹기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방,지금 있는 곳","1","2","1","가지","점심,저녁","오늘의 식탁에 싱그러운 기운을 더해봐요.","오늘 한 끼에 채소 반찬 {num}{unit} 더 먹기!","이미 있는 나물이나 샐러드 중에서 골라도 돼요.","","Y","검수대기","해당없음","","","","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P3","운동 점수용이 아닌 생활 실천 미션으로 유지 가능","실천 기록으로 유지; 완료 횟수를 유산소 분이나 근력 일수로 바꾸지 않기"
"CHEW_SLOW_02","土","식사·수면·생활 리듬","천천히 씹어 먹기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방,지금 있는 곳","10","20","5","번","점심,저녁","천천히 누릴수록 오늘의 만족이 깊어져요.","한 입을 {num}{unit} 더 천천히 씹어보기!","숫자를 세기 어렵다면 평소보다 조금만 더 씹어요.","","Y","검수대기","해당없음","","","","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P3","운동 점수용이 아닌 생활 실천 미션으로 유지 가능","실천 기록으로 유지; 완료 횟수를 유산소 분이나 근력 일수로 바꾸지 않기"
"BREAKFAST_03","土","식사·수면·생활 리듬","한 끼 챙겨 먹기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방","1","2","1","가지","아침","작은 아침 준비가 하루의 복을 불러와요.","오늘 먹을 것 {num}{unit} 챙겨 먹기!","거창하지 않아도 돼요. 과일이나 우유도 좋아요.","","Y","검수대기","해당없음","","","","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P3","운동 점수용이 아닌 생활 실천 미션으로 유지 가능","실천 기록으로 유지; 완료 횟수를 유산소 분이나 근력 일수로 바꾸지 않기"
"FRUIT_04","土","식사·수면·생활 리듬","과일 먹기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방,사무실","1","2","1","조각","오후,저녁","달콤한 한 조각이 오늘의 기분운을 높여줘요.","{place}에서 과일 {num}{unit} 먹기!","씻어서 바로 먹을 수 있는 과일을 골라도 좋아요.","","Y","검수대기","해당없음","","","","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P3","운동 점수용이 아닌 생활 실천 미션으로 유지 가능","실천 기록으로 유지; 완료 횟수를 유산소 분이나 근력 일수로 바꾸지 않기"
"SOUP_LEAVE_05","土","식사·수면·생활 리듬","국물 덜어놓고 먹기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방","1","2","1","끼","점심,저녁","덜어내는 선택이 오늘의 몸을 가볍게 해줘요.","오늘 {num}{unit}는 국물 덜어놓고 먹기!","국물 대신 건더기 위주로 편하게 먹어요.","","Y","검수대기","해당없음","","","","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P3","운동 점수용이 아닌 생활 실천 미션으로 유지 가능","실천 기록으로 유지; 완료 횟수를 유산소 분이나 근력 일수로 바꾸지 않기"
"WHOLE_GRAIN_06","土","식사·수면·생활 리듬","잡곡밥 먹어보기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방","1","2","1","끼","점심,저녁","익숙한 밥상에 작은 변화를 더하면 운이 새로워져요.","오늘 {num}{unit}는 잡곡밥 먹어보기!","속이 불편하면 흰쌀에 조금 섞어도 괜찮아요.","","Y","검수대기","해당없음","","","","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P3","운동 점수용이 아닌 생활 실천 미션으로 유지 가능","실천 기록으로 유지; 완료 횟수를 유산소 분이나 근력 일수로 바꾸지 않기"
"SCREEN_MEAL_07","土","식사·수면·생활 리듬","화면 끄고 식사하기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방,지금 있는 곳","1","2","1","끼","점심,저녁","눈앞의 식사에 집중하면 마음의 흐름도 맑아져요.","{num}{unit}는 화면 끄고 밥 먹기!","TV나 휴대폰을 잠시 내려놓아요.","","Y","검수대기","해당없음","","","","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P3","운동 점수용이 아닌 생활 실천 미션으로 유지 가능","실천 기록으로 유지; 완료 횟수를 유산소 분이나 근력 일수로 바꾸지 않기"
"SLEEP_PREP_08","土","식사·수면·생활 리듬","잠자리 준비하기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집","10","20","5","분","저녁","미리 준비하는 마음이 편안한 밤을 불러와요.","{place}에서 {num}{unit} 일찍 잠자리 준비하기!","조명을 조금 낮추고 편한 순서로 준비해요.","","Y","검수대기","해당없음","","","","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P3","운동 점수용이 아닌 생활 실천 미션으로 유지 가능","실천 기록으로 유지; 완료 횟수를 유산소 분이나 근력 일수로 바꾸지 않기"
"SCREEN_OFF_09","土","식사·수면·생활 리듬","화면 없이 쉬기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집","30","60","15","분","저녁","화면을 내려놓으면 밤의 기운이 부드러워져요.","{num}{unit} 동안 화면 없이 쉬기!","알람을 맞춘 뒤 화면은 손이 닿지 않는 곳에 두어요.","","Y","검수대기","해당없음","","","","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P2","30~60분은 짧은 하루 미션으로 시간 부담이 큰 편","실천 기록으로 유지; 완료 횟수를 유산소 분이나 근력 일수로 바꾸지 않기 / 10/20/30분 단계안 또는 시작 예약과 나중 확인 방식 검토"
"MORNING_LIGHT_10","土","식사·수면·생활 리듬","햇빛 보기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집","3","5","1","분","아침","밝은 빛이 오늘의 리듬을 다정하게 깨워요.","{place}에서 {num}{unit} 햇빛 보기!","커튼만 걷거나 밝은 창가에 있어도 좋아요.","","Y","검수대기","해당없음","","","","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P3","운동 점수용이 아닌 생활 실천 미션으로 유지 가능","실천 기록으로 유지; 완료 횟수를 유산소 분이나 근력 일수로 바꾸지 않기"
"NIGHT_STRETCH_11","土","식사·수면·생활 리듬","몸 풀기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집","3","5","1","분","저녁","하루의 긴장을 풀면 내일의 운도 편안해져요.","{place}에서 {num}{unit} 몸 풀기!","반동 없이 목과 어깨를 편하게 늘여요.","","Y","검수대기","해당없음","","","","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P3","운동 점수용이 아닌 생활 실천 미션으로 유지 가능","실천 기록으로 유지; 완료 횟수를 유산소 분이나 근력 일수로 바꾸지 않기"
"SAME_WAKE_12","土","식사·수면·생활 리듬","비슷한 시간에 일어나기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집","15","30","15","분","아침","일정한 시작이 오늘의 리듬운을 단단하게 해줘요.","평소 기상 시간에서 {num}{unit} 안쪽으로 일어나 보기!","잠이 많이 부족한 날은 무리하지 말고 쉬어요.","","Y","검수대기","해당없음","","","","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P2","15~30분은 수행시간이 아니라 기상 시각 허용오차","실천 기록으로 유지; 완료 횟수를 유산소 분이나 근력 일수로 바꾸지 않기 / 목표 시각·실제 시각·허용오차를 구분; 운동시간 합산 금지"
"SLOW_DINNER_13","土","식사·수면·생활 리듬","한 끼 천천히 먹기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,주방","10","15","5","분","저녁","여유 있는 저녁이 마음의 복을 채워줘요.","{place}에서 {num}{unit} 천천히 먹기!","식사 시간이 짧아도 한두 입만 천천히 먹어봐요.","","Y","검수대기","해당없음","","","","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P3","운동 점수용이 아닌 생활 실천 미션으로 유지 가능","실천 기록으로 유지; 완료 횟수를 유산소 분이나 근력 일수로 바꾸지 않기"
"MEAL_TABLE_14","土","식사·수면·생활 리듬","식탁에 앉아 먹기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방","1","2","1","끼","점심,저녁","자리를 갖추면 오늘의 식사운도 안정돼요.","오늘 {num}{unit}는 식탁에 앉아 먹기!","가능한 한 서두르지 않는 자리를 골라요.","","Y","검수대기","해당없음","","","","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P3","운동 점수용이 아닌 생활 실천 미션으로 유지 가능","실천 기록으로 유지; 완료 횟수를 유산소 분이나 근력 일수로 바꾸지 않기"
"SNACK_PORTION_15","土","식사·수면·생활 리듬","간식 덜어 먹기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방,사무실","1","2","1","번","오후","알맞게 덜어내는 감각이 오늘의 균형을 지켜줘요.","간식을 접시에 {num}{unit} 덜어 먹기!","봉지째 먹기보다 먹을 만큼만 덜어봐요.","","Y","검수대기","해당없음","","","","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P3","운동 점수용이 아닌 생활 실천 미션으로 유지 가능","실천 기록으로 유지; 완료 횟수를 유산소 분이나 근력 일수로 바꾸지 않기"
"LATE_SNACK_PAUSE_16","土","식사·수면·생활 리듬","야식 전 잠깐 멈추기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,주방","3","5","1","분","저녁","잠깐의 멈춤이 나에게 맞는 선택을 보여줘요.","출출하면 {num}{unit} 잠깐 멈춰보기!","배가 고프면 가벼운 음식을 먹어도 괜찮아요.","","Y","검수대기","해당없음","","","","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P3","운동 점수용이 아닌 생활 실천 미션으로 유지 가능","실천 기록으로 유지; 완료 횟수를 유산소 분이나 근력 일수로 바꾸지 않기"
"DINNER_TIME_17","土","식사·수면·생활 리듬","식사 시간 정해두기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방","1","1","1","번","저녁","미리 정한 시간이 하루의 흐름을 정돈해줘요.","오늘 먹을 시간 {num}{unit} 정해두기!","정확히 지키기보다 대략의 시간을 정하면 돼요.","","Y","검수대기","해당없음","","","","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P3","운동 점수용이 아닌 생활 실천 미션으로 유지 가능","실천 기록으로 유지; 완료 횟수를 유산소 분이나 근력 일수로 바꾸지 않기"
"MORNING_WASH_18","土","식사·수면·생활 리듬","세수하기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,욕실","1","1","1","번","아침","상쾌한 시작이 오늘의 기분운을 열어줘요.","{place}에서 세수 {num}{unit} 하기!","피부가 예민하면 미지근한 물을 사용해요.","","Y","검수대기","해당없음","","","","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P3","운동 점수용이 아닌 생활 실천 미션으로 유지 가능","실천 기록으로 유지; 완료 횟수를 유산소 분이나 근력 일수로 바꾸지 않기"
"BEDTIME_NOTE_19","土","식사·수면·생활 리듬","잠들 시간 적기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,침실","1","1","1","번","저녁","밤의 약속을 적어두면 내일의 리듬이 쉬워져요.","오늘 잠들 시간을 {num}{unit} 적어두기!","실제와 달라도 괜찮아요. 목표 시간만 적어봐요.","","Y","검수대기","해당없음","","","","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P3","운동 점수용이 아닌 생활 실천 미션으로 유지 가능","실천 기록으로 유지; 완료 횟수를 유산소 분이나 근력 일수로 바꾸지 않기"
"ROOM_DIM_20","土","식사·수면·생활 리듬","조명 어둡게 하기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,침실","1","2","1","개","저녁","은은한 빛이 오늘의 마음을 차분하게 해줘요.","잠들기 전 조명 {num}{unit} 어둡게 하기!","넘어지지 않도록 이동할 길의 불은 남겨두어요.","","Y","검수대기","해당없음","","","","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P3","운동 점수용이 아닌 생활 실천 미션으로 유지 가능","실천 기록으로 유지; 완료 횟수를 유산소 분이나 근력 일수로 바꾸지 않기"
"PILLOW_READY_21","土","식사·수면·생활 리듬","침대 정리하기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,침실","3","5","1","분","저녁","정돈된 잠자리가 편안한 밤의 운을 불러요.","{place}에서 {num}{unit} 침대 정리하기!","무거운 이불을 들기보다 가볍게 펴기만 해도 돼요.","","Y","검수대기","해당없음","","","","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P3","운동 점수용이 아닌 생활 실천 미션으로 유지 가능","실천 기록으로 유지; 완료 횟수를 유산소 분이나 근력 일수로 바꾸지 않기"
"MEAL_COLOR_22","土","식사·수면·생활 리듬","색 다른 반찬 고르기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방,식당","1","2","1","가지","점심,저녁","다채로운 색이 식탁과 기분에 활기를 줘요.","오늘 반찬 중 다른 색 {num}{unit} 고르기!","평소 먹는 음식 안에서 골라요.","","Y","검수대기","해당없음","","","","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P3","운동 점수용이 아닌 생활 실천 미션으로 유지 가능","실천 기록으로 유지; 완료 횟수를 유산소 분이나 근력 일수로 바꾸지 않기"
"EAT_SEATED_23","土","식사·수면·생활 리듬","한 입 앉아 먹기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방,사무실","1","3","1","번","언제나","잠시 앉아 먹는 여유가 하루를 안정시켜요.","서서 먹는 대신 앉아서 {num}{unit} 먹기!","한 끼 전체가 아니어도 한두 입이면 충분해요.","","Y","검수대기","해당없음","","","","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P3","운동 점수용이 아닌 생활 실천 미션으로 유지 가능","실천 기록으로 유지; 완료 횟수를 유산소 분이나 근력 일수로 바꾸지 않기"
"FOOD_CHECK_24","土","식사·수면·생활 리듬","먹을 것 미리 보기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방","1","2","1","번","아침,저녁","미리 살피는 마음이 오늘의 선택운을 밝혀줘요.","먹기 전 오늘의 식사를 {num}{unit} 살펴보기!","평가하지 말고 무엇을 먹을지만 가볍게 봐요.","","Y","검수대기","해당없음","","","","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P3","운동 점수용이 아닌 생활 실천 미션으로 유지 가능","실천 기록으로 유지; 완료 횟수를 유산소 분이나 근력 일수로 바꾸지 않기"
"SLEEP_ALARM_25","土","식사·수면·생활 리듬","취침 알람 맞추기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,침실","1","1","1","번","저녁","작은 알림이 편안한 밤으로 이끌어줘요.","잠자리 준비 알람 {num}{unit} 맞추기!","알람 시간은 부담 없는 때로 정해요.","","Y","검수대기","해당없음","","","","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P3","운동 점수용이 아닌 생활 실천 미션으로 유지 가능","실천 기록으로 유지; 완료 횟수를 유산소 분이나 근력 일수로 바꾸지 않기"
"MORNING_CLOTHES_26","土","식사·수면·생활 리듬","내일 옷 준비하기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,침실","1","2","1","벌","저녁","내일을 준비하면 오늘의 마음이 가벼워져요.","내일 입을 옷 {num}{unit} 준비하기!","날씨가 달라져도 괜찮으니 편한 옷을 골라요.","","Y","검수대기","해당없음","","","","1","일반","기존 노출 유지","현 생활습관 운동 입력에는 미반영","P3","운동 점수용이 아닌 생활 실천 미션으로 유지 가능","실천 기록으로 유지; 완료 횟수를 유산소 분이나 근력 일수로 바꾸지 않기"
