"미션ID","축","영역","행운의행동","유형","측정분류","측정데이터_핵심","모델연동","측정시작조건","완료판정","행운의위치_후보","행운의숫자_최소","행운의숫자_최대","행운의숫자_간격","단위","시간대","오늘의운세_해석","오늘의한줄_템플릿","수행안내_안전문구","안전태그","시니어안전","검수상태"
"CHEW_SLOW_02","土","식사·수면·생활 리듬","천천히 씹어 먹기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방,지금 있는 곳","10","20","5","번","점심,저녁","천천히 누릴수록 오늘의 만족이 깊어져요.","한 입을 {num}{unit} 더 천천히 씹어보기!","숫자를 세기 어렵다면 평소보다 조금만 더 씹어요.","","Y","검수대기"
"BREAKFAST_03","土","식사·수면·생활 리듬","아침 챙겨 먹기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방","1","2","1","가지","아침","작은 아침 준비가 하루의 복을 불러와요.","아침에 먹을 것 {num}{unit} 챙겨 먹기!","거창하지 않아도 돼요. 과일이나 우유도 좋아요.","","Y","검수대기"
"FRUIT_04","土","식사·수면·생활 리듬","과일 먹기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방,사무실","1","2","1","조각","오후,저녁","달콤한 한 조각이 오늘의 기분운을 높여줘요.","{place}에서 과일 {num}{unit} 먹기!","씻어서 바로 먹을 수 있는 과일을 골라도 좋아요.","","Y","검수대기"
"SOUP_LEAVE_05","土","식사·수면·생활 리듬","국물 덜어놓고 먹기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방","1","2","1","끼","점심,저녁","덜어내는 선택이 오늘의 몸을 가볍게 해줘요.","오늘 {num}{unit}는 국물 덜어놓고 먹기!","국물 대신 건더기 위주로 편하게 먹어요.","","Y","검수대기"
"WHOLE_GRAIN_06","土","식사·수면·생활 리듬","잡곡밥 먹어보기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방","1","2","1","끼","점심,저녁","익숙한 밥상에 작은 변화를 더하면 운이 새로워져요.","오늘 {num}{unit}는 잡곡밥 먹어보기!","속이 불편하면 흰쌀에 조금 섞어도 괜찮아요.","","Y","검수대기"
"SCREEN_MEAL_07","土","식사·수면·생활 리듬","화면 끄고 식사하기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방,지금 있는 곳","1","2","1","끼","점심,저녁","눈앞의 식사에 집중하면 마음의 흐름도 맑아져요.","{num}{unit}는 화면 끄고 밥 먹기!","TV나 휴대폰을 잠시 내려놓아요.","","Y","검수대기"
"SLEEP_PREP_08","土","식사·수면·생활 리듬","잠자리 준비하기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집","10","20","5","분","저녁","미리 준비하는 마음이 편안한 밤을 불러와요.","{place}에서 {num}{unit} 일찍 잠자리 준비하기!","조명을 조금 낮추고 편한 순서로 준비해요.","","Y","검수대기"
"SCREEN_OFF_09","土","식사·수면·생활 리듬","자기 전 화면 끄기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집","30","60","15","분","저녁","화면을 내려놓으면 밤의 기운이 부드러워져요.","잠들기 {num}{unit} 전에 화면 끄기!","알람을 맞춘 뒤 화면은 손이 닿지 않는 곳에 두어요.","","Y","검수대기"
"MORNING_LIGHT_10","土","식사·수면·생활 리듬","아침 빛 보기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집","3","5","1","분","아침","밝은 빛이 오늘의 리듬을 다정하게 깨워요.","{place}에서 {num}{unit} 아침 빛 보기!","커튼만 걷거나 밝은 창가에 있어도 좋아요.","","Y","검수대기"
"NIGHT_STRETCH_11","土","식사·수면·생활 리듬","자기 전 몸 풀기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집","3","5","1","분","저녁","하루의 긴장을 풀면 내일의 운도 편안해져요.","{place}에서 자기 전 {num}{unit} 몸 풀기!","반동 없이 목과 어깨를 편하게 늘여요.","","Y","검수대기"
"SAME_WAKE_12","土","식사·수면·생활 리듬","비슷한 시간에 일어나기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집","15","30","15","분","아침","일정한 시작이 오늘의 리듬운을 단단하게 해줘요.","평소 기상 시간에서 {num}{unit} 안쪽으로 일어나 보기!","잠이 많이 부족한 날은 무리하지 말고 쉬어요.","","Y","검수대기"
"SLOW_DINNER_13","土","식사·수면·생활 리듬","저녁 천천히 먹기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,주방","10","15","5","분","저녁","여유 있는 저녁이 마음의 복을 채워줘요.","{place}에서 {num}{unit} 천천히 저녁 먹기!","식사 시간이 짧아도 한두 입만 천천히 먹어봐요.","","Y","검수대기"
"MEAL_TABLE_14","土","식사·수면·생활 리듬","식탁에 앉아 먹기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방","1","2","1","끼","점심,저녁","자리를 갖추면 오늘의 식사운도 안정돼요.","오늘 {num}{unit}는 식탁에 앉아 먹기!","가능한 한 서두르지 않는 자리를 골라요.","","Y","검수대기"
"SNACK_PORTION_15","土","식사·수면·생활 리듬","간식 덜어 먹기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방,사무실","1","2","1","번","오후","알맞게 덜어내는 감각이 오늘의 균형을 지켜줘요.","간식을 접시에 {num}{unit} 덜어 먹기!","봉지째 먹기보다 먹을 만큼만 덜어봐요.","","Y","검수대기"
"LATE_SNACK_PAUSE_16","土","식사·수면·생활 리듬","야식 전 잠깐 멈추기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,주방","3","5","1","분","저녁","잠깐의 멈춤이 나에게 맞는 선택을 보여줘요.","출출하면 {num}{unit} 잠깐 멈춰보기!","배가 고프면 가벼운 음식을 먹어도 괜찮아요.","","Y","검수대기"
"DINNER_TIME_17","土","식사·수면·생활 리듬","저녁 시간 정해두기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방","1","1","1","번","저녁","미리 정한 시간이 하루의 흐름을 정돈해줘요.","오늘 저녁 먹을 시간 {num}{unit} 정해두기!","정확히 지키기보다 대략의 시간을 정하면 돼요.","","Y","검수대기"
"MORNING_WASH_18","土","식사·수면·생활 리듬","아침 세수하기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,욕실","1","1","1","번","아침","상쾌한 시작이 오늘의 기분운을 열어줘요.","{place}에서 아침 세수 {num}{unit} 하기!","피부가 예민하면 미지근한 물을 사용해요.","","Y","검수대기"
"BEDTIME_NOTE_19","土","식사·수면·생활 리듬","잠들 시간 적기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,침실","1","1","1","번","저녁","밤의 약속을 적어두면 내일의 리듬이 쉬워져요.","오늘 잠들 시간을 {num}{unit} 적어두기!","실제와 달라도 괜찮아요. 목표 시간만 적어봐요.","","Y","검수대기"
"ROOM_DIM_20","土","식사·수면·생활 리듬","조명 어둡게 하기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,침실","1","2","1","개","저녁","은은한 빛이 오늘의 마음을 차분하게 해줘요.","잠들기 전 조명 {num}{unit} 어둡게 하기!","넘어지지 않도록 이동할 길의 불은 남겨두어요.","","Y","검수대기"
"PILLOW_READY_21","土","식사·수면·생활 리듬","침대 정리하기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,침실","3","5","1","분","저녁","정돈된 잠자리가 편안한 밤의 운을 불러요.","{place}에서 {num}{unit} 침대 정리하기!","무거운 이불을 들기보다 가볍게 펴기만 해도 돼요.","","Y","검수대기"
"MEAL_COLOR_22","土","식사·수면·생활 리듬","색 다른 반찬 고르기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방,식당","1","2","1","가지","점심,저녁","다채로운 색이 식탁과 기분에 활기를 줘요.","오늘 반찬 중 다른 색 {num}{unit} 고르기!","평소 먹는 음식 안에서 골라요.","","Y","검수대기"
"EAT_SEATED_23","土","식사·수면·생활 리듬","한 입 앉아 먹기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방,사무실","1","3","1","번","언제나","잠시 앉아 먹는 여유가 하루를 안정시켜요.","서서 먹는 대신 앉아서 {num}{unit} 먹기!","한 끼 전체가 아니어도 한두 입이면 충분해요.","","Y","검수대기"
"FOOD_CHECK_24","土","식사·수면·생활 리듬","먹을 것 미리 보기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방","1","2","1","번","아침,저녁","미리 살피는 마음이 오늘의 선택운을 밝혀줘요.","먹기 전 오늘의 식사를 {num}{unit} 살펴보기!","평가하지 말고 무엇을 먹을지만 가볍게 봐요.","","Y","검수대기"
"SLEEP_ALARM_25","土","식사·수면·생활 리듬","취침 알람 맞추기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,침실","1","1","1","번","저녁","작은 알림이 편안한 밤으로 이끌어줘요.","잠자리 준비 알람 {num}{unit} 맞추기!","알람 시간은 부담 없는 때로 정해요.","","Y","검수대기"
"MORNING_CLOTHES_26","土","식사·수면·생활 리듬","내일 옷 준비하기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,침실","1","2","1","벌","저녁","내일을 준비하면 오늘의 마음이 가벼워져요.","내일 입을 옷 {num}{unit} 준비하기!","날씨가 달라져도 괜찮으니 편한 옷을 골라요.","","Y","검수대기"
"SIT_BREAKFAST_27","土","식사·수면·생활 리듬","아침 한입 천천히 먹기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방","1","3","1","입","아침","첫 한입의 여유가 오늘의 속도를 정해줘요.","아침 첫 {num}{unit} 천천히 먹기!","부담 없이 한입만 시도해도 충분해요.","","Y","검수대기"
"AFTER_MEAL_PAUSE_28","土","식사·수면·생활 리듬","식사 뒤 앉아 쉬기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,주방","3","5","1","분","점심,저녁","식사 뒤의 여유가 몸의 흐름을 부드럽게 해줘요.","식사 뒤 {num}{unit} 편히 앉아 쉬기!","바로 눕기보다 편안히 앉아 있어요.","","Y","검수대기"
"SLEEP_SOUND_29","土","식사·수면·생활 리듬","조용한 소리 고르기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,침실","1","1","1","가지","저녁","고요한 선택이 오늘 밤의 운을 고르게 해줘요.","잠들기 전 편안한 소리 {num}{unit} 고르기!","소리가 오히려 방해되면 조용히 있는 편이 좋아요.","","Y","검수대기"
"MEAL_THANKS_30","土","식사·수면·생활 리듬","식사 전 감사하기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방,식당","1","1","1","번","점심,저녁","고마운 마음이 오늘의 식사에 온기를 더해줘요.","먹기 전 감사한 것 {num}{unit} 떠올리기!","길게 생각하지 말고 한 가지만 떠올려요.","","Y","검수대기"
"WEEKDAY_RHYTHM_31","土","식사·수면·생활 리듬","오늘의 순서 정하기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞","1","3","1","가지","아침","하루의 순서를 정하면 기운이 덜 흩어져요.","오늘 할 일 순서 {num}{unit} 정해두기!","가장 쉬운 일부터 적어도 좋아요.","","Y","검수대기"
"TEA_PAUSE_32","土","식사·수면·생활 리듬","따뜻한 음료 천천히 마시기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,주방,사무실","3","5","1","분","오후","따뜻한 한 모금이 오늘의 마음운을 다독여줘요.","{place}에서 {num}{unit} 따뜻한 음료 천천히 마시기!","너무 뜨겁지 않은 온도로 마셔요.","","Y","검수대기"
"LUNCH_TIME_33","土","식사·수면·생활 리듬","점심 시간 확보하기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,사무실","10","20","5","분","점심","나를 위한 시간을 비우면 좋은 흐름이 생겨요.","점심에 {num}{unit}만큼 여유 두기!","정확한 시간보다 잠깐 멈춰 먹는 것이 중요해요.","","Y","검수대기"
"SLEEP_ROOM_AIR_34","土","식사·수면·생활 리듬","잠자리 환기하기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,침실","3","5","1","분","저녁","맑은 공기가 오늘 밤의 기운을 새롭게 해줘요.","잠들기 전 {num}{unit} 환기하기!","추운 날에는 창문을 조금만 열고 몸을 따뜻하게 해요.","","Y","검수대기"
"MEAL_START_SMALL_35","土","식사·수면·생활 리듬","작은 접시 먼저 쓰기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방","1","1","1","개","점심,저녁","작게 시작하는 선택이 오늘의 균형운을 지켜줘요.","오늘 한 끼에 작은 접시 {num}{unit} 먼저 쓰기!","먹을 양을 제한하려는 것이 아니라 천천히 덜어보는 연습이에요.","","Y","검수대기"
"BEDTIME_THANKS_36","土","식사·수면·생활 리듬","오늘 수고 떠올리기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,침실","1","3","1","가지","저녁","나를 다정히 바라보면 밤의 기운이 편안해져요.","잠들기 전 오늘 수고한 것 {num}{unit} 떠올리기!","아주 작은 일도 충분해요.","","Y","검수대기"
"MORNING_AIR_37","土","식사·수면·생활 리듬","아침 공기 마시기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,창가","1","3","1","분","아침","새 공기를 들이면 오늘의 흐름도 새로워져요.","{place}에서 {num}{unit} 아침 공기 마시기!","창문을 열기 어렵다면 창가에 잠시 서 있어요.","","Y","검수대기"
"DINNER_CLEAN_38","土","식사·수면·생활 리듬","식사 뒤 한 가지 정리하기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방","1","3","1","개","저녁","식후의 작은 정리가 마음의 여유를 남겨줘요.","식사 뒤 식기 {num}{unit} 정리하기!","무리해 모두 치우지 않아도 괜찮아요.","","Y","검수대기"
"SLEEP_COMFORT_39","土","식사·수면·생활 리듬","편한 잠옷 고르기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,침실","1","1","1","벌","저녁","편안함을 고르는 마음이 오늘 밤의 복이 돼요.","잠들기 전 편한 잠옷 {num}{unit} 고르기!","체온에 맞는 편한 옷이면 충분해요.","","Y","검수대기"
"DAY_CLOSE_40","土","식사·수면·생활 리듬","하루 마무리 순서 만들기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,침실","1","3","1","가지","저녁","반복되는 마무리가 내일의 기운을 준비해줘요.","잠들기 전 순서 {num}{unit} 정해보기!","씻기나 조명 끄기처럼 쉬운 것부터 골라요.","","Y","검수대기"
"LOG_MEAL_01","金","기록","오늘 먹은 것 적기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞,지금 있는 곳","1","3","1","가지","저녁","기록하는 손끝에 오늘의 배움운이 쌓여요.","오늘 먹은 것 {num}{unit} 적어두기!","정확한 양이 아니라 이름만 적어도 충분해요.","","Y","검수대기"
"LOG_STEPS_02","金","기록","오늘 걸음 수 확인하기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞,지금 있는 곳","1","1","1","번","저녁","확인하는 순간에 내일의 활력운이 보여요.","오늘 걸음 수 {num}{unit} 확인하기!","휴대폰이나 연결된 앱에서 가볍게 확인해요.","","Y","검수대기"
"LOG_MOOD_03","金","기록","오늘 기분 남기기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞","1","5","1","점","저녁","있는 그대로 적는 마음이 감정의 길을 밝혀줘요.","오늘 기분을 {num}{unit}으로 남기기!","좋고 나쁨을 평가하지 말고 느낌대로 적어요.","","Y","검수대기"
"LOG_ACTIVITY_04","金","기록","움직인 시간 적기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞,지금 있는 곳","1","2","1","가지","저녁","움직임을 돌아보면 오늘의 성취운이 선명해져요.","오늘 움직인 시간 {num}{unit} 적어두기!","대략 몇 분이었는지만 적어도 좋아요.","","Y","검수대기"
"PLAN_TOMORROW_05","金","기록","내일 할 행동 적기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞","1","2","1","가지","저녁","작은 계획이 내일의 행운을 맞이할 자리를 만들어요.","내일 할 행동 {num}{unit} 적어두기!","물 한 잔처럼 아주 작은 계획이면 충분해요.","","Y","검수대기"
"LOG_PHOTO_06","金","기록","오늘 한 장 남기기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,지금 있는 곳,책상 앞","1","2","1","장","저녁","오늘을 담아두면 좋은 기억운이 자라요.","오늘 기억할 장면 {num}{unit} 남기기!","먹은 것이나 하늘처럼 편한 대상을 찍어도 좋아요.","","Y","검수대기"
"REVIEW_WEEK_07","金","기록","이번 주 기록 돌아보기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,책상 앞","3","5","1","분","저녁","돌아보는 시간에 다음 주의 방향운이 생겨요.","{place}에서 {num}{unit} 이번 주 기록 돌아보기!","해낸 날을 먼저 찾아보고 빈 날은 그냥 넘겨요.","","Y","검수대기"
"LOG_WATER_08","金","기록","물 마신 때 표시하기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞,사무실","1","3","1","번","저녁","작은 표시가 나를 돌보는 기운을 키워줘요.","오늘 물 마신 때 {num}{unit} 표시하기!","정확히 모두 적지 않아도 한 번만 기록해도 돼요.","","Y","검수대기"
"LOG_SLEEP_09","金","기록","잠든 시간 적기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,침실","1","1","1","번","아침","밤을 적어두면 오늘의 리듬운을 살필 수 있어요.","어제 잠든 시간 {num}{unit} 적어두기!","대략적인 시간으로 적어도 괜찮아요.","","Y","검수대기"
"LOG_WAKE_10","金","기록","일어난 시간 적기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,침실","1","1","1","번","아침","아침을 기록하면 하루의 흐름이 또렷해져요.","오늘 일어난 시간 {num}{unit} 적어두기!","정확한 분까지 적지 않아도 돼요.","","Y","검수대기"
"LOG_ENERGY_11","金","기록","오늘 활력 적기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞","1","5","1","점","아침,저녁","내 몸의 기운을 알아차리면 선택운이 좋아져요.","오늘 활력을 {num}{unit}으로 남기기!","숫자가 어렵다면 높음과 보통과 낮음으로 적어도 좋아요.","","Y","검수대기"
"LOG_GRATITUDE_12","金","기록","고마운 일 적기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞,침실","1","3","1","가지","저녁","고마움을 적는 순간 오늘의 복이 오래 남아요.","오늘 고마운 일 {num}{unit} 적어두기!","사람이나 날씨처럼 사소한 것도 좋아요.","","Y","검수대기"
"LOG_WIN_13","金","기록","해낸 일 표시하기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞,지금 있는 곳","1","3","1","가지","저녁","해낸 것을 보면 자신감의 운이 커져요.","오늘 해낸 일 {num}{unit} 표시하기!","아주 작은 행동도 해낸 일로 적어도 돼요.","","Y","검수대기"
"LOG_REST_14","金","기록","쉰 시간 적기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞","1","2","1","번","저녁","휴식도 기록하면 나를 돌보는 길이 보여요.","오늘 쉰 순간 {num}{unit} 적어두기!","정확한 시간보다 쉬었다는 사실만 남겨도 좋아요.","","Y","검수대기"
"LOG_WEATHER_15","金","기록","오늘 날씨 적기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞,창가","1","2","1","가지","아침,저녁","하늘을 살피면 오늘의 감각운이 맑아져요.","오늘 날씨 느낌 {num}{unit} 적어두기!","맑음이나 흐림처럼 짧게 적으면 돼요.","","Y","검수대기"
"LOG_PAIN_16","金","기록","불편한 곳 확인하기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞","1","3","1","곳","저녁","몸의 신호를 알아차리는 것이 오늘의 지혜운이에요.","오늘 불편한 곳 {num}{unit} 확인하기!","통증이 심하거나 계속되면 의료진에게 상담하세요.","","Y","검수대기"
"LOG_HUNGER_17","金","기록","배고픔 느낌 적기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방,책상 앞","1","3","1","번","점심,저녁","내 감각을 적어두면 식사의 균형운이 자라요.","식사 전 배고픔 느낌 {num}{unit} 적기!","정답은 없으니 배고픔이나 보통처럼 적어요.","","Y","검수대기"
"LOG_SMILE_18","金","기록","웃었던 순간 적기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞","1","2","1","가지","저녁","웃음의 기억이 오늘의 관계운을 따뜻하게 해줘요.","오늘 웃었던 순간 {num}{unit} 적어두기!","작은 미소도 충분히 적을 만해요.","","Y","검수대기"
"LOG_CONTACT_19","金","기록","연락한 사람 적기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞,지금 있는 곳","1","2","1","명","저녁","이어진 관계가 오늘의 마음운을 지켜줘요.","오늘 안부를 나눈 사람 {num}{unit} 적기!","이름 대신 가족이나 친구처럼 적어도 돼요.","","Y","검수대기"
"LOG_OUTDOOR_20","金","기록","밖에 나간 시간 적기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞","1","2","1","번","저녁","밖으로 나간 발걸음을 기억하면 활력운이 남아요.","오늘 밖에 나간 때 {num}{unit} 적어두기!","현관 앞에 나간 것도 기록해도 좋아요.","","Y","검수대기"
"LOG_FOOD_COLOR_21","金","기록","먹은 음식 색 적기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방,책상 앞","1","3","1","가지","저녁","색을 기록하면 오늘의 식사운이 다채로워져요.","오늘 먹은 음식 색 {num}{unit} 적어두기!","정확한 이름 대신 색만 적어도 괜찮아요.","","Y","검수대기"
"LOG_BREATH_22","金","기록","숨 고른 순간 표시하기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞,사무실","1","3","1","번","저녁","호흡을 돌아보면 마음의 균형운이 찾아와요.","오늘 숨을 고른 순간 {num}{unit} 표시하기!","한 번이라도 알아차렸다면 충분해요.","","Y","검수대기"
"LOG_POSTURE_23","金","기록","자세 점검 적기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞,사무실","1","3","1","번","저녁","자세를 살피면 내 몸과의 연결운이 깊어져요.","오늘 자세를 바로잡은 때 {num}{unit} 적기!","자책하지 말고 알아차린 것만 적어요.","","Y","검수대기"
"LOG_SCREEN_24","金","기록","화면 쉰 시간 적기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞","1","2","1","번","저녁","화면을 쉬게 한 선택이 마음의 여백운을 줘요.","오늘 화면을 쉰 때 {num}{unit} 적어두기!","몇 분이었는지 몰라도 괜찮아요.","","Y","검수대기"
"LOG_FAVORITE_25","金","기록","좋았던 음식 적기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,주방,책상 앞","1","2","1","가지","저녁","좋아한 것을 기억하면 일상의 기쁨운이 커져요.","오늘 좋았던 음식 {num}{unit} 적어두기!","건강 평가 없이 맛있었던 것만 적어도 좋아요.","","Y","검수대기"
"LOG_CHALLENGE_26","金","기록","어려웠던 순간 적기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞","1","2","1","가지","저녁","어려움을 알아차리면 내일의 지혜운이 생겨요.","오늘 어려웠던 순간 {num}{unit} 적어두기!","해결책까지 쓰지 않아도 괜찮아요.","","Y","검수대기"
"LOG_HELP_27","金","기록","도움 받은 일 적기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞","1","2","1","가지","저녁","도움을 기억하면 관계의 복이 깊어져요.","오늘 도움 받은 일 {num}{unit} 적어두기!","작은 배려도 기록해도 좋아요.","","Y","검수대기"
"LOG_SELFCARE_28","金","기록","나를 돌본 행동 적기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞,침실","1","3","1","가지","저녁","나를 챙긴 기록이 내일의 행운을 키워줘요.","오늘 나를 돌본 행동 {num}{unit} 적어두기!","쉬기나 물 마시기도 충분한 행동이에요.","","Y","검수대기"
"LOG_INTENTION_29","金","기록","오늘의 마음 정하기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞","1","1","1","가지","아침","마음을 정하면 오늘의 방향운이 분명해져요.","오늘의 마음 {num}{unit} 적어두기!","편안하게나 천천히처럼 한 단어도 좋아요.","","Y","검수대기"
"LOG_LEARN_30","金","기록","오늘 알게 된 것 적기","SELF_CHECK","사용자수행형","사용자확인,수행횟수(선택)","N","해당 없음","사용자가 완료를 확인","집,책상 앞","1","2","1","가지","저녁","깨달음을 적는 순간 성장의 운이 쌓여요.","오늘 알게 된 것 {num}{unit} 적어두기!","별것 아닌 발견도 괜찮아요.","","Y","검수대기"
